71681	71683	0.005298
59173	59196	0.074755
20885	20894	0.093657
82514	82545	0.096354
100027	100064	0.105652
17531	17573	0.172420
65378	65477	0.196818
78933	78990	0.243587
110997	111043	0.268619
17608	17702	0.307480
17499	17573	0.334270
95241	95294	0.355998
17499	17531	0.361956
17499	17608	0.370037
17702	17847	0.386423
17573	17608	0.434594
34981	35037	0.438268
26176	26207	0.451402
32249	32362	0.459207
17573	17702	0.460216
46853	47006	0.479571
114855	115033	0.506422
26176	26366	0.551099
20635	20711	0.563053
40702	40888	0.576744
17531	17608	0.578148
96757	96837	0.583680
17499	17702	0.595411
85696	85927	0.598141
20713	20894	0.612010
60965	61174	0.618498
17531	17702	0.632630
20713	20885	0.637078
17608	17847	0.656204
36188	36284	0.683570
43109	43234	0.711998
20455	20648	0.720159
61622	61932	0.755365
23453	23767	0.776199
26207	26366	0.776496
67464	67472	0.786299
112948	113246	0.794341
17573	17847	0.822955
26549	26727	0.827688
45080	45556	0.843821
85258	85267	0.847967
71053	71284	0.878546
40091	40326	0.892844
115438	115669	0.901493
21248	21393	0.910458
15900	16083	0.912435
74824	75323	0.915301
78820	78933	0.921581
87933	87998	0.954907
68282	68523	0.963057
37629	37826	0.964978
17499	17847	0.980240
17531	17847	0.991713
28360	28404	0.991872
16335	16826	1.007155
99675	99848	1.021810
73273	73334	1.036208
93825	94114	1.036886
31592	31700	1.057591
77070	77257	1.073865
24244	24327	1.096094
38070	38170	1.111401
42570	43023	1.112456
42402	42799	1.116358
94481	94713	1.133308
116631	116805	1.141949
16826	17358	1.150368
44127	44471	1.156534
78820	78990	1.159003
80911	81304	1.161558
36366	36850	1.170671
19587	19849	1.172108
29038	29426	1.196261
82673	83000	1.199605
86170	86670	1.222471
33579	33856	1.240230
101958	102281	1.244504
19343	19812	1.253469
88192	88601	1.275105
60009	60718	1.281659
42312	42884	1.284504
109492	109857	1.285519
67153	67669	1.286829
84970	85340	1.289331
20042	20535	1.293069
22797	23123	1.296290
102281	102532	1.302389
112440	112748	1.304173
34444	34981	1.313636
